,Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Country
187,Komodo Health,SF Bay Area,Healthcare,78.0,0.09,2022-12-13 00:00:00,https://techcrunch.com/2022/12/13/komodo-health-once-tipped-for-a-looming-ipo-has-cut-staff-as-cfo-departs/,514.0,United States
1230,Kontist,Berlin,Finance,50.0,0.25,2022-05-25 00:00:00,https://financefwd.com/de/kontist-entlassungen/,53.0,Germany
281,Kraken,SF Bay Area,Crypto,1100.0,0.3,2022-11-30 00:00:00,https://blog.kraken.com/post/16442/business-update/,134.0,United States
1253,Kry,Stockholm,Healthcare,100.0,0.1,2022-05-17 00:00:00,https://www.di.se/digital/sparpaket-pa-kry-varslar-100-personer/,568.0,Sweden
688,Kuda,Lagos,Finance,23.0,0.05,2022-09-02 00:00:00,https://techcrunch.com/2022/09/02/nigerian-digital-bank-kuda-is-the-latest-african-startup-to-lay-off-employees/,91.0,Nigeria
1698,Kueski,Guadalajara,Finance,90.0,0.3,2020-04-20 00:00:00,https://elceo.com/tecnologia/fintech-de-prestamos-en-linea-sufriran-estragos-por-el-covid-19/,38.0,Mexico
816,LEAD,Mumbai,Education,80.0,0.04,2022-08-04 00:00:00,https://www.moneycontrol.com/news/business/startup/school-edtech-unicorn-lead-lets-go-of-about-100-employees-8954821.html,166.0,India
1227,Lacework,SF Bay Area,Security,300.0,0.2,2022-05-25 00:00:00,https://twitter.com/GergelyOrosz/status/1529575067117658112,1900.0,United States
1997,Ladder Life,SF Bay Area,Finance,13.0,0.25,2020-03-23 00:00:00,LinkedIn,94.0,United States
1507,Lastline,SF Bay Area,Security,50.0,0.4,2020-06-04 00:00:00,https://techcrunch.com/2020/06/04/vmware-lastline-staff-cuts/,52.0,United States
1268,Latch,New York City,Security,30.0,0.06,2022-05-10 00:00:00,https://techcrunch.com/2022/05/13/startup-tech-layoff-and-hiring-freeze-in-may/,342.0,United States
1561,Lattice,SF Bay Area,HR,16.0,0.1,2020-05-15 00:00:00,LinkedIn,49.0,United States
685,Lawgeex,Tel Aviv,Legal,30.0,0.33,2022-09-06 00:00:00,https://www.tech12.co.il/index-career/Article-daa4d2195231381027.htm?sCh=cf25c425b37bc710&pId=18758941771,41.0,Israel
550,Leafly,Seattle,Retail,56.0,0.21,2022-10-18 00:00:00,https://investor.leafly.com/news/news-details/2022/Leafly-Announces-Cost-Reductions-to-Strengthen-Financial-Profile/default.aspx,71.0,United States
1311,Legible,Vancouver,Media,23.0,0.38,2022-04-04 00:00:00,https://betakit.com/in-effort-to-cut-costs-cse-listed-legible-lays-off-over-a-third-of-its-employees/,3.0,Canada
322,Lemon,Buenos Aires,Crypto,100.0,0.38,2022-11-24 00:00:00,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,17.0,Argentina
1686,Lending Club,SF Bay Area,Finance,460.0,0.3,2020-04-21 00:00:00,https://www.cnbc.com/2020/04/21/lendingclub-cuts-30percent-of-workforce-as-covid-19-dampens-demand-for-loans.html,392.0,United States
1560,Lendingkart,Ahmedabad,Finance,500.0,0.5,2020-05-15 00:00:00,https://officechai.com/news/lendingkart-lays-off-500-employees-50-workforce-sources/,200.0,India
1002,Lendis,Berlin,Other,18.0,0.15,2022-07-04 00:00:00,https://www.businessinsider.de/gruenderszene/news/news-ticker-lendis-2022-07/,90.0,Germany
236,Lev,New York City,Real Estate,30.0,0.3,2022-12-07 00:00:00,https://therealdeal.com/2022/12/07/cre-finance-platform-lev-lays-off-chunk-of-staff/,114.0,United States
1782,Lever,SF Bay Area,Recruiting,86.0,0.4,2020-04-08 00:00:00,https://layoffs.fyi/2020/04/13/lever-laid-off-109-employees/,72.0,United States
433,Liftoff,SF Bay Area,Marketing,130.0,0.15,2022-11-09 00:00:00,Internal memo,6.0,United States
1457,Lighter Capital,Seattle,Finance,22.0,0.49,2020-07-20 00:00:00,https://www.geekwire.com/2020/seattle-based-alternative-vc-firm-lighter-capital-lays-off-employees/,15.0,United States
999,Lightricks,Jerusalem,Consumer,80.0,0.12,2022-07-04 00:00:00,https://en.globes.co.il/en/article-app-developer-lightricks-lays-off-70-in-israel-1001417020,335.0,Israel
31,Lightspeed Commerce,Montreal,Retail,300.0,0.1,2023-01-17 00:00:00,https://www.prnewswire.com/news-releases/lightspeed-commerce-streamlines-operations-with-a-continued-focus-on-profitable-growth-301723292.html,1200.0,Canada
1641,Lime,SF Bay Area,Transportation,80.0,0.13,2020-04-29 00:00:00,https://layoffs.fyi/2020/05/04/lime-laid-off-80-employees/,765.0,United States
1456,LinkedIn,SF Bay Area,Recruiting,960.0,0.06,2020-07-21 00:00:00,https://layoffs.fyi/2020/08/04/linkedin-launches-official-talent-directory-after-laying-off-960-employees/,154.0,United States
572,Linkfire,Copenhagen,Marketing,35.0,0.35,2022-10-11 00:00:00,https://view.news.eu.nasdaq.com/view?id=bc7bad5005a84b17bcf95ce24675c058c&lang=en,2.0,Denmark
788,Linktree,Melbourne,Consumer,50.0,0.17,2022-08-09 00:00:00,https://www.smartcompany.com.au/industries/information-technology/linktree-sacks-employees-tech/,165.0,Australia
237,Lithic,New York City,Finance,27.0,0.18,2022-12-07 00:00:00,https://www.axios.com/pro/fintech-deals/2022/12/07/fintech-lithic-lays-off-27,115.0,United States
1334,Liv Up,Sao Paulo,Food,100.0,0.15,2022-02-16 00:00:00,https://startups.com.br/noticias/liv-up-faz-reestruturacao-e-corta-15-do-quadro/,118.0,Brazil
638,LivePerson,New York City,Support,193.0,0.11,2022-09-15 00:00:00,Internal memo,42.0,United States
1546,Livspace,Bengaluru,Retail,450.0,0.15,2020-05-19 00:00:00,https://tech.economictimes.indiatimes.com/news/startups/livspace-lays-off-450-employees-as-lockdown-hurts-operations/75823519,157.0,India
990,Loft,Sao Paulo,Real Estate,384.0,0.12,2022-07-05 00:00:00,https://startups.com.br/noticias/loft-faz-segunda-rodada-de-demissoes-e-corta-mais-380/,788.0,Brazil
1523,Loftium,Seattle,Real Estate,32.0,0.6,2020-05-29 00:00:00,https://www.seattletimes.com/business/real-estate/seattle-based-airbnb-rental-startup-loftium-misses-its-own-rent-payments-slashes-staff-as-coronavirus-undercuts-business/,17.0,United States
1926,Loftsmart,New York City,Real Estate,25.0,0.75,2020-03-30 00:00:00,https://www.linkedin.com/posts/swbernstein_founder-operator-and-investor-friends-activity-6647864445718585344-4i-K,18.0,United States
799,Loggi,Sao Paulo,Logistics,500.0,0.15,2022-08-08 00:00:00,https://startups.com.br/noticias/na-onda-dos-layoffs-loggi-demite-cerca-de-15-da-sua-forca-de-trabalho/,507.0,Brazil
366,Lokalise,Dover,Other,76.0,0.23,2022-11-16 00:00:00,https://lokalise.com/blog/changes-at-lokalise/,56.0,United States
538,Loom,SF Bay Area,Product,23.0,0.11,2022-10-20 00:00:00,https://www.sfgate.com/bayarea/article/sf-based-loom-video-tech-unicorn-layoffs-17522993.php,203.0,United States
724,Loop,Washington D.C.,Finance,15.0,0.2,2022-08-24 00:00:00,https://www.coverager.com/layoffs-at-loop/,24.0,United States
1774,LoopMe,London,Marketing,8.0,0.04,2020-04-09 00:00:00,https://www.adweek.com/programmatic/multiple-ad-tech-companies-suffer-layoffs-as-unemployment-spikes/,32.0,United Kingdom
1617,Loopio,Toronto,Sales,11.0,0.08,2020-05-04 00:00:00,https://betakit.com/loopio-lays-off-11-staff-as-it-sees-increased-scrutiny-from-buyers-during-pandemic/,11.0,Canada
907,Lunchbox,New York City,Food,60.0,0.33,2022-07-21 00:00:00,https://www.businessinsider.com/lunchbox-lays-off-employees-as-food-tech-startups-face-downturn-2022-7,72.0,United States
932,Lusha,New York City,Marketing,30.0,0.1,2022-07-18 00:00:00,https://www.calcalistech.com/ctechnews/article/rjqkrgx3q,245.0,United States
467,Lyft,SF Bay Area,Transportation,700.0,0.13,2022-11-03 00:00:00,https://www.wsj.com/articles/lyft-plans-to-lay-off-hundreds-of-staffers-11667490092,4900.0,United States
297,Lyst,London,Retail,50.0,0.25,2022-11-29 00:00:00,https://techcrunch.com/2022/11/29/lyst-the-uk-fashion-marketplace-is-laying-off-25-of-staff/,144.0,United Kingdom
1246,MFine,Bengaluru,Healthcare,600.0,0.75,2022-05-21 00:00:00,https://inc42.com/buzz/exclusive-healthtech-startup-mfine-fires-600-employees/,97.0,India
786,MadeiraMadeira,Curitiba,Retail,60.0,0.03,2022-08-09 00:00:00,https://www.estadao.com.br/link/inovacao/unicornio-madeiramadeira-demite-60-pessoas-em-busca-de-ganho-de-eficiencia/,338.0,Brazil
1677,Magic Leap,Miami,Consumer,1000.0,0.5,2020-04-22 00:00:00,https://layoffs.fyi/2020/04/27/magic-leap-laid-off-1000-employees/,2600.0,United States
1278,Mainstreet,SF Bay Area,Finance,45.0,0.3,2022-05-04 00:00:00,https://www.businessinsider.com/mainstreet-lays-off-third-of-employees-market-conditions-2022-5,64.0,United States
1520,MakeMyTrip,Gurugram,Travel,350.0,0.1,2020-06-01 00:00:00,https://www.livemint.com/companies/news/covid-19-lockdown-makemytrip-to-lay-off-10-of-its-workforce-as-revenues-hit-11591008074698.html,548.0,India
747,Malwarebytes,SF Bay Area,Security,125.0,0.14,2022-08-17 00:00:00,https://techcrunch.com/2022/08/17/malwareybytes-layoffs/,80.0,United States
772,Marketforce,Nairobi,Retail,54.0,0.09,2022-08-11 00:00:00,https://techcrunch.com/2022/08/11/kenyan-b2b-e-commerce-platform-marketforce-cut-about-9-of-staff-in-reorganization-strategy/,42.0,Kenya
1077,MasterClass,SF Bay Area,Education,120.0,0.2,2022-06-22 00:00:00,https://techcrunch.com/2022/06/22/masterclass-cuts-20-of-600-person-staff-to-get-to-self-sustainability-faster/,461.0,United States
1769,Matterport,SF Bay Area,Data,90.0,0.34,2020-04-09 00:00:00,https://layoffs.fyi/2020/04/24/matterport-laid-off-90-employees/,114.0,United States
1922,Maven,Seattle,Media,31.0,0.09,2020-03-30 00:00:00,https://www.businesswire.com/news/home/20200330005734/en/Maven-Announces-Broad-Cost-Containment-Initiative-Including-9,77.0,United States
1808,MediaMath,New York City,Marketing,53.0,0.08,2020-04-07 00:00:00,https://www.adexchanger.com/platforms/mediamath-cuts-8-of-staff-citing-coronavirus/,607.0,United States
1779,Meesho,Bengaluru,Retail,200.0,0.28,2020-04-08 00:00:00,https://entrackr.com/2020/04/exclusive-meesho-lays-off-over-200-employees-due-to-covid-19/,215.0,India
808,Mejuri,Toronto,Retail,50.0,0.1,2022-08-05 00:00:00,https://betakit.com/d2c-startups-not-immune-to-downturn-as-article-mejuri-make-staff-cuts/,28.0,Canada
1571,Mercos,Joinville,Sales,51.0,0.4,2020-05-13 00:00:00,https://www.linkedin.com/pulse/decis%C3%A3o-mais-dif%C3%ADcil-dos-%C3%BAltimos-10-anos-tiago-brandes/,2.0,Brazil
428,Meta,SF Bay Area,Consumer,11000.0,0.13,2022-11-09 00:00:00,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,26000.0,United States
854,Metigy,Sydney,Marketing,75.0,1.0,2022-07-31 00:00:00,https://www.linkedin.com/posts/myrabeal_talent-tech-recruitment-activity-6959703840858259456-V8Tv/,18.0,Australia
868,Metromile,SF Bay Area,Finance,60.0,0.2,2022-07-28 00:00:00,https://techcrunch.com/2022/07/29/lemonade-closes-on-acquisition-of-insurtech-metromile-promptly-lays-off-about-20-of-its-staff/,510.0,United States
10,Microsoft,Seattle,Other,10000.0,0.05,2023-01-18 00:00:00,https://www.usatoday.com/story/money/2023/01/18/microsoft-layoffs-10000-employees-stock/11074235002/,1.0,United States
1853,MindBody,San Luis Obispo,Fitness,700.0,0.35,2020-04-02 00:00:00,https://www.sanluisobispo.com/news/business/article241730706.html,114.0,United States
1831,Minted,SF Bay Area,Retail,147.0,0.37,2020-04-03 00:00:00,https://www.theinformation.com/briefings/d4f745,297.0,United States
113,Minute Media,London,Media,50.0,0.1,2023-01-08 00:00:00,https://www.calcalistech.com/ctechnews/article/bjoxf00d5i,160.0,United Kingdom
1580,Mixpanel,SF Bay Area,Data,65.0,0.19,2020-05-12 00:00:00,https://www.bizjournals.com/sanfrancisco/news/2020/05/12/sf-analytics-company-yc-graduate-cuts-65-obs.html?iana=hpmvp_sfbt_news_headline,77.0,United States
1215,Mobile Premier League,Bengaluru,Consumer,100.0,0.1,2022-05-30 00:00:00,https://www.moneycontrol.com/news/business/startup/exclusive-mobile-premier-league-to-lay-off-100-employees-exit-indonesia-market-8603881.html,375.0,India
128,Moglix,Singapore,Retail,40.0,0.02,2023-01-05 00:00:00,https://inc42.com/buzz/b2b-ecommerce-unicorn-moglix-layoff-spree-fires-40-employees/,472.0,Singapore
1946,Mogo,Vancouver,Finance,78.0,0.3,2020-03-27 00:00:00,https://betakit.com/mogo-lays-off-30-percent-of-staff-makes-company-wide-cuts-citing-covid-19-uncertainty/,201.0,Canada
577,Momentive,SF Bay Area,Marketing,180.0,0.11,2022-10-10 00:00:00,https://www.sec.gov/ix?doc=/Archives/edgar/data/1739936/000095017022019536/mntv-20221010.htm,1100.0,United States
1510,Monzo,London,Finance,120.0,0.08,2020-06-03 00:00:00,https://layoffs.fyi/2020/07/21/monzo-launches-layoff-list-amid-multiple-rounds-of-layoffs/,324.0,United Kingdom
617,Moss,Berlin,Finance,70.0,0.15,2022-09-23 00:00:00,https://financefwd.com/de/moss-entlassungen/,150.0,Germany
229,Motive,SF Bay Area,Transportation,237.0,0.06,2022-12-07 00:00:00,https://gomotive.com/blog/shoaib-makanis-message-to-employees/,567.0,United States
1699,Movidesk,Blumenau,Support,33.0,0.25,2020-04-20 00:00:00,https://scinova.com.br/demissoes-a-conta-da-covid-19-bate-as-portas-de-empresas-de-tecnologia-em-santa-catarina/,1.0,Brazil
1440,Mozilla,SF Bay Area,Consumer,250.0,0.25,2020-08-11 00:00:00,https://layoffs.fyi/2020/08/12/mozilla-lays-off-250-employees-launches-talent-directory/,2.3,United States
1273,Mural,SF Bay Area,Product,90.0,0.1,2022-05-05 00:00:00,LinkedIn,192.0,United States
607,Mux,SF Bay Area,Infrastructure,40.0,0.2,2022-09-29 00:00:00,Internal memo,173.0,United States
1587,N26,New York City,Finance,9.0,0.01,2020-05-08 00:00:00,https://financefwd.com/de/n26-usa-kuendigungen/,782.0,United States
1417,NS8,Las Vegas,Data,240.0,0.95,2020-09-11 00:00:00,https://twitter.com/VitalVegas/status/1304355796008853506,157.9,United States
736,NSO,Tel Aviv,Security,100.0,0.14,2022-08-21 00:00:00,https://www.calcalistech.com/ctechnews/article/hjb0095yyi,1.0,Israel
621,NYDIG,New York City,Crypto,110.0,0.33,2022-09-22 00:00:00,https://www.wsj.com/articles/crypto-broker-nydig-lays-off-one-third-of-staff-in-effort-to-narrow-focus-11665707545,1400.0,United States
1623,Namely,New York City,HR,110.0,0.4,2020-05-01 00:00:00,https://layoffs.fyi/2020/05/11/namely-laid-off-160-employees-citing-challenges-faced-by-its-smb-customers/,217.0,United States
1017,Nate,New York City,Retail,30.0,0.2,2022-06-30 00:00:00,https://www.theinformation.com/articles/coatue-backed-shopping-startup-that-exaggerated-tech-capabilities-to-potential-investors-lays-off-20-of-staff,47.0,United States
1492,Navi,Bengaluru,Finance,40.0,0.25,2020-06-17 00:00:00,https://inc42.com/buzz/sachin-bansals-navi-general-insurance-lays-off-40-employees/,582.0,India
1752,Neon,Sao Paulo,Finance,70.0,0.1,2020-04-13 00:00:00,"https://link.estadao.com.br/noticias/inovacao,neon-demite-funcionarios-e-eventbrite-fecha-operacoes-no-brasil,70003269607",120.0,Brazil
1066,Netflix,SF Bay Area,Media,300.0,0.03,2022-06-23 00:00:00,https://www.cnbc.com/2022/06/23/netflix-lays-off-300-more-employees-as-revenue-growth-continues-to-slow.html,121900.0,United States
273,Netlify,SF Bay Area,Product,48.0,0.16,2022-12-01 00:00:00,Internal memo,212.0,United States
742,New Relic,SF Bay Area,Infrastructure,110.0,0.05,2022-08-18 00:00:00,https://www.marketwatch.com/story/new-relic-commits-to-restructuring-plan-including-layoffs-271660823014,214.0,United States
980,Next Insurance,SF Bay Area,Finance,150.0,0.17,2022-07-07 00:00:00,https://www.calcalistech.com/ctechnews/article/byybineic,881.0,United States
1027,Niantic,SF Bay Area,Consumer,85.0,0.08,2022-06-29 00:00:00,https://www.bloomberg.com/news/articles/2022-06-29/pokemon-go-creator-niantic-cancels-four-projects-cuts-jobs#xj4y7vzkg,770.0,United States
566,Noom,New York City,Healthcare,500.0,0.1,2022-10-11 00:00:00,https://techcrunch.com/2022/10/11/noom-tech-layoffs-diet-app/,657.0,United States
1116,Notarize,Boston,Legal,110.0,0.25,2022-06-15 00:00:00,https://www.bizjournals.com/boston/news/2022/06/15/notarize-cuts-25-of-staff-in-latest-tech-layoff.html,213.0,United States
1590,Numbrs,Zurich,Finance,62.0,0.5,2020-05-07 00:00:00,https://financefwd.com/de/finanzierungsrunde-geplatzt-numbrs/,78.0,Switzerland
1759,NuoDB,Boston,Data,20.0,0.29,2020-04-10 00:00:00,https://www.americaninno.com/boston/inno-news-boston/cambridge-database-startup-nuodb-lays-off-nearly-one-third-of-its-staff/,85.0,United States
1231,Nuri,Berlin,Finance,45.0,0.2,2022-05-25 00:00:00,https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/fintech-berliner-neobank-nuri-streicht-jede-fuenfte-stelle/28373716.html,42.0,Germany
340,Nuro,SF Bay Area,Transportation,300.0,0.2,2022-11-18 00:00:00,https://techcrunch.com/2022/11/18/autonomous-delivery-startup-nuro-lays-off-20-of-workforce/,2100.0,United States
783,Nutanix,SF Bay Area,Infrastructure,270.0,0.04,2022-08-09 00:00:00,https://www.marketscreener.com/quote/stock/NUTANIX-INC-31497437/news/NUTANIX-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-41257917/,1100.0,United States
838,Nylas,SF Bay Area,Product,80.0,0.25,2022-08-02 00:00:00,https://www.nylas.com/blog/a-message-from-nylas-co-founder-ceo-gleb-polyakov/,175.0,United States
421,Ocavu,Lehi,Crypto,20.0,0.48,2022-11-10 00:00:00,https://www.sltrib.com/news/2022/11/10/company-partnering-with-byu-nft/,11.0,United States
494,Oda,Oslo,Food,70.0,0.18,2022-11-01 00:00:00,https://shifter.no/nyheter/oda-sparker-70-og-henter-15-milliarder-kroner/262587,477.0,Norway
1540,Ola,Bengaluru,Transportation,1400.0,0.35,2020-05-20 00:00:00,https://techcrunch.com/2020/05/20/indian-ride-hailing-firm-ola-cuts-1400-jobs/,3800.0,India
925,Olive,Columbus,Healthcare,450.0,0.31,2022-07-19 00:00:00,https://oliveai.com/important-changes-to-our-business,856.0,United States
1767,Omie,Sao Paulo,Finance,136.0,0.31,2020-04-09 00:00:00,"https://link.estadao.com.br/noticias/inovacao,onda-de-demissoes-em-startups-atinge-getninjas-creditas-e-omie,70003263878",26.0,Brazil
1274,On Deck,SF Bay Area,Education,72.0,0.25,2022-05-05 00:00:00,https://techcrunch.com/2022/05/05/on-deck-lay-off-accelerator/,20.0,United States
203,OneFootball,Berlin,Marketing,62.0,0.115,2022-12-09 00:00:00,https://company.onefootball.com/news/an-update-from-onefootball-founder-and-ceo-lucas-von-cranach/,442.0,Germany
1147,OneTrust,Atlanta,Security,950.0,0.25,2022-06-09 00:00:00,https://www.onetrust.com/blog/onetrust-organizational-update/,926.0,United States
1936,OneWeb,London,Aerospace,451.0,0.85,2020-03-27 00:00:00,https://spacenews.com/oneweb-files-for-chapter-11-bankruptcy/,3000.0,United Kingdom
1120,OpenWeb,Tel Aviv,Media,14.0,0.05,2022-06-15 00:00:00,https://en.globes.co.il/en/article-openweb-announces-streamlining-plan-including-layoffs-1001415224,223.0,Israel
1648,OpenX,Los Angeles,Marketing,35.0,0.15,2020-04-28 00:00:00,https://www.adexchanger.com/platforms/openx-cuts-staff-hours-and-executive-pay-in-response-to-reduced-marketer-spend/,70.0,United States
1841,Opencare,Toronto,Healthcare,18.0,0.25,2020-04-03 00:00:00,https://betakit.com/opencare-lays-off-one-quarter-of-staff-as-it-prepares-to-weather-the-storm-of-covid-19/,24.0,Canada
478,Opendoor,SF Bay Area,Real Estate,550.0,0.18,2022-11-02 00:00:00,https://www.bloomberg.com/news/articles/2022-11-02/opendoor-lays-off-18-of-workers-in-wave-of-housing-cutbacks,1900.0,United States
1460,Optimizely,SF Bay Area,Marketing,60.0,0.15,2020-07-15 00:00:00,https://techcrunch.com/2020/07/15/benchmark-backed-optimizely-confirms-it-has-laid-off-15-percent-of-staff/,251.2,United States
529,OrCam,Jerusalem,Healthcare,62.0,0.16,2022-10-23 00:00:00,https://www.calcalistech.com/ctechnews/article/ry5v11kgvo,86.0,Israel
1613,Oriente,Hong Kong,Finance,400.0,0.2,2020-05-04 00:00:00,https://www.dealstreetasia.com/stories/oriente-lay-off-workforce-187008/,175.0,Hong Kong
1672,Oscar Health,New York City,Healthcare,70.0,0.05,2020-04-23 00:00:00,https://www.bloomberg.com/news/articles/2020-04-24/white-house-linked-oscar-health-laying-off-5-of-staff,1300.0,United States
215,Otonomo,Tel Aviv,Transportation,80.0,0.5,2022-12-08 00:00:00,https://www.calcalistech.com/ctechnews/article/bjbvjqyoi,231.0,Israel
1973,OutboundEngine,Austin,Marketing,52.0,0.28,2020-03-25 00:00:00,https://www.bizjournals.com/austin/news/2020/03/25/outbound-engine-lays-off-dozens-amid-coronavirus.html,48.0,United States
886,Outbrain,New York City,Marketing,38.0,0.03,2022-07-26 00:00:00,https://en.globes.co.il/en/article-fiverr-lays-off-60-including-30-employees-in-israel-1001419413,394.0,United States
839,Outreach,Seattle,Sales,60.0,0.05,2022-08-02 00:00:00,https://www.linkedin.com/posts/medinism_throughout-outreachs-journey-as-a-start-up-activity-6960299213226225664-PNsG/,489.0,United States
994,Outschool,SF Bay Area,Education,31.0,0.18,2022-07-05 00:00:00,https://techcrunch.com/2022/07/05/outschool-which-raised-a-series-b-c-and-d-in-12-months-lays-off-18-of-workforce/,240.0,United States
1248,Outside,Boulder,Media,87.0,0.15,2022-05-20 00:00:00,https://www.adweek.com/media/outside-inc-lays-off-15-of-staff-as-it-transitions-to-digital/,174.0,United States
1975,Overtime,New York City,Media,30.0,0.23,2020-03-25 00:00:00,https://frntofficesport.com/overtime-coronavirus-job-cuts/,35.0,United States
377,OwnBackup,New York City,Security,170.0,0.17,2022-11-15 00:00:00,https://www.calcalistech.com/ctechnews/article/h12tcmbuj,507.0,United States
1032,Oye Rickshaw,New Delhi,Transportation,40.0,0.2,2022-06-29 00:00:00,https://inc42.com/buzz/exclusive-matrix-partners-backed-oye-rickshaw-lays-off-40-employees/,13.0,India
569,Pacaso,SF Bay Area,Real Estate,100.0,0.3,2022-10-11 00:00:00,https://therealdeal.com/2022/10/13/pacaso-lays-off-100-workers-over-worries-of-a-pending-recession/,217.0,United States
727,Packable,New York City,Retail,138.0,0.2,2022-08-23 00:00:00,"https://www.cnbc.com/2022/08/23/amazon-seller-packable-lays-off-employees-begins-liquidating.html#:~:text=Investing%20Club-,Top%20Amazon%20seller%20Packable%20begins%20liquidating%20and,cuts%20after%20failed%20SPAC%20attempt&text=Packable%2C%20the%20parent%20company%20of,to%20documents%20viewed%20by%20CNBC.",472.0,United States
1493,PaisaBazaar,Gurugram,Finance,1500.0,0.5,2020-06-16 00:00:00,https://thetechportal.com/2020/06/16/policybazaar-paisabazaar-lay-offs/,496.0,India
2019,Panda Squad,SF Bay Area,Consumer,6.0,0.75,2020-03-13 00:00:00,https://twitter.com/danielsinger/status/1238545571092160514,1.0,United States
99,Parler,Nashville,Consumer,60.0,0.75,2023-01-10 00:00:00,https://www.theverge.com/2023/1/10/23549198/parler-parlement-technologies-layoffs-gettr-george-farmer-candace-owens,36.0,United States
1734,Parsable,SF Bay Area,HR,40.0,0.25,2020-04-15 00:00:00,Company executive,72.0,United States
1882,PatientPop,Los Angeles,Healthcare,100.0,0.2,2020-04-01 00:00:00,LinkedIn,75.0,United States
651,Patreon,SF Bay Area,Media,80.0,0.17,2022-09-13 00:00:00,https://www.theinformation.com/briefings/patreon-lays-off-17-of-staff,413.0,United States
578,Pavilion Data,SF Bay Area,Infrastructure,96.0,0.96,2022-10-10 00:00:00,https://blocksandfiles.com/2022/10/10/pavilion-data-crashes-last-nvme-over-fabrics-array-startup-has-died/,103.0,United States
1649,PayJoy,SF Bay Area,Finance,27.0,0.25,2020-04-28 00:00:00,https://layoffs.fyi/2020/05/27/exclusive-fintech-startup-payjoy-laid-off-23-employees/,71.0,United States
368,Pear Therapeutics,Boston,Healthcare,59.0,0.22,2022-11-16 00:00:00,https://www.fiercebiotech.com/medtech/pear-therapeutics-trims-workforce-another-22,409.0,United States
890,Pear Therapeutics ,Boston,Healthcare,25.0,0.09,2022-07-25 00:00:00,https://www.massdevice.com/pear-therapeutics-announces-layoffs/,409.0,United States
131,Pecan AI,Tel Aviv,Data,30.0,0.25,2023-01-05 00:00:00,https://www.calcalistech.com/ctechnews/article/hkrgrqvqo,116.0,Israel
1921,PeerStreet,Los Angeles,Finance,51.0,0.3,2020-03-30 00:00:00,https://layoffs.fyi/2020/03/31/breaking-la-based-peerstreet-lays-off-50-employees/,110.0,United States
1964,Peerspace,SF Bay Area,Real Estate,41.0,0.75,2020-03-26 00:00:00,https://www.peerspace.com/blog/ceo-letter-to-the-peerspace-community/,34.0,United States
1337,Peloton,New York City,Fitness,2800.0,0.2,2022-02-08 00:00:00,https://techcrunch.com/2022/02/08/peloton-ceo-steps-down-as-the-company-cuts-2800-jobs/,1900.0,United States
679,Pendo,Raleigh,Product,45.0,0.05,2022-09-07 00:00:00,https://www.axios.com/local/raleigh/2022/09/09/raleigh-startup-pendo-layoffs,469.0,United States
1713,People.ai,SF Bay Area,Marketing,30.0,0.18,2020-04-17 00:00:00,https://techcrunch.com/2020/04/17/sales-startup-people-ai-lays-off-18-of-staff-raises-debt-round-amid-covid-19-uncertainty/,100.0,United States
248,Perimeter 81,Tel Aviv,Security,20.0,0.08,2022-12-06 00:00:00,https://www.calcalistech.com/ctechnews/article/hjgmdpnws,165.0,Israel
803,Perion,Tel Aviv,Marketing,20.0,0.05,2022-08-08 00:00:00,https://en.globes.co.il/en/article-perion-network-lays-off-20-transfers-us-activities-to-israel-1001420801,76.0,Israel
1822,PerkSpot,Chicago,HR,10.0,0.1,2020-04-06 00:00:00,https://www.americaninno.com/chicago/inno-news-chicago/layoffs-at-hr-tech-company-perkspot-amid-covid-19/,50.0,United States
777,Permutive,London,Marketing,30.0,0.12,2022-08-10 00:00:00,https://www.businessinsider.com/permutive-lays-off-12-of-staffers-amid-economic-downturn-2022-8,105.0,United Kingdom
132,Personetics,New York City,Support,30.0,0.08,2023-01-05 00:00:00,https://www.calcalistech.com/ctechnews/article/sjlizvvcs,178.0,United States
1537,PickYourTrail,Chennai,Travel,70.0,0.35,2020-05-21 00:00:00,https://www.cnbctv18.com/travel/pickyourtrail-realigns-business-will-enter-domestic-travel-market-5968711.htm,3.0,India
1254,Picsart,Miami,Consumer,90.0,0.08,2022-05-17 00:00:00,https://www.theinformation.com/articles/picsart-a-photo-editing-startup-for-creators-cuts-8-of-workforce,195.0,United States
65,Pier,Sao Paulo,Finance,111.0,0.39,2023-01-12 00:00:00,https://startups.com.br/noticias/insurtech-pier-demite-cerca-de-39-da-forca-de-trabalho/,42.0,Brazil
399,Pipedrive,Tallin,Sales,143.0,0.15,2022-11-14 00:00:00,https://digipro.geenius.ee/rubriik/uudis/tehnoloogiasektori-koondamislaine-joudis-ka-eestisse-pipedrive-laseb-lahti-143-tootajat/,90.0,Estonia
1068,Pipl,Spokane,Security,22.0,0.13,2022-06-23 00:00:00,https://en.globes.co.il/en/article-fake-profile-finder-pipl-firing-22-hiring-50-1001416113,19.0,United States
