,Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Country
1126,Compass,New York City,Real Estate,450.0,0.1,2022-06-14 00:00:00,https://www.bloomberg.com/news/articles/2022-06-14/compass-to-cut-about-10-of-workforce-amid-us-housing-slowdown#xj4y7vzkg,1600.0,United States
656,Compete,Tel Aviv,HR,11.0,0.28,2022-09-12 00:00:00,https://www.calcalistech.com/ctechnews/article/rkzqei2gi,17.0,Israel
95,ConsenSys,New York City,Crypto,100.0,0.11,2023-01-10 00:00:00,https://www.coindesk.com/business/2023/01/10/ethereum-software-firm-consensys-to-cut-upwards-of-100-staff-as-crypto-bear-market-takes-another-casualty/,726.0,United States
1966,Consider.co,SF Bay Area,Other,13.0,1.0,2020-03-26 00:00:00,https://www.consider.co/,5.0,United States
1706,ContaAzul,Joinville,Education,140.0,0.35,2020-04-17 00:00:00,https://www.contxto.com/en/brazil/startups-brazil-confirm-layoffs-covid-cause/,37.0,Brazil
762,ContraFect,New York City,Healthcare,16.0,0.37,2022-08-15 00:00:00,https://www.benzinga.com/general/biotech/22/08/28497436/contrafect-cuts-workforce-after-trial-setback,380.0,United States
1991,Convene,New York City,Real Estate,150.0,0.18,2020-03-23 00:00:00,https://layoffs.fyi/2020/04/08/convene-laid-off-150-employees/,280.0,United States
1150,Convoy,Seattle,Logistics,90.0,0.07,2022-06-09 00:00:00,https://www.geekwire.com/2022/convoy-which-just-raised-260m-lays-off-7-of-workforce-in-latest-tech-startup-cuts/,1100.0,United States
1232,Coterie Insurance,Cincinnati,Finance,30.0,0.2,2022-05-25 00:00:00,https://www.bizjournals.com/cincinnati/inno/stories/news/2022/05/27/cincinnati-tech-startup-coterie-cuts-downs.html,70.0,United States
1890,Crayon,Boston,Marketing,20.0,0.2,2020-04-01 00:00:00,LinkedIn,16.0,United States
1513,Credit Sesame,SF Bay Area,Finance,22.0,0.14,2020-06-03 00:00:00,https://www.businessinsider.com/credit-sesame-layoffs-credit-business-trouble-2020-6,120.0,United States
1015,Crejo.Fun,Bengaluru,Education,170.0,1.0,2022-06-30 00:00:00,https://inc42.com/buzz/exclusive-matrix-backed-edtech-startup-crejo-fun-shuts-down/,3.0,India
1521,CrowdStreet,Portland,Real Estate,24.0,0.22,2020-06-01 00:00:00,https://www.oregonlive.com/silicon-forest/2020/06/crowdstreet-portland-real-estate-funding-startup-lays-off-a-fifth-of-its-staff.html,24.0,United States
1563,Cruise,SF Bay Area,Transportation,150.0,0.08,2020-05-14 00:00:00,https://www.theverge.com/2020/5/14/21259001/cruise-gm-layoff-self-driving-unit-recruiting-product-design,5300.0,United States
1138,Crypto.com,Singapore,Crypto,260.0,0.05,2022-06-10 00:00:00,https://blockworks.co/crypto-com-cutting-5-of-workforce-amid-digital-asset-downturn/,156.0,Singapore
1527,Culture Amp,Melbourne,HR,36.0,0.08,2020-05-28 00:00:00,https://www.smh.com.au/business/small-business/tech-unicorn-culture-amp-lays-off-staff-as-growth-halves-20200528-p54x9d.html,157.0,Australia
1624,Culture Trip,London,Media,95.0,0.32,2020-05-01 00:00:00,https://www.businessinsider.com/culture-trip-layoffs-2020-5?,102.0,United Kingdom
1611,CureFit,Bengaluru,Fitness,800.0,0.16,2020-05-04 00:00:00,https://www.reuters.com/article/us-curefit-jobs/fitness-group-cure-fit-lays-off-employees-mulls-all-digital-move-sources-idUSKBN22G1WI,404.0,India
1201,Curve,London,Finance,65.0,0.1,2022-06-01 00:00:00,https://www.altfi.com/article/9332_exclusive-curve-joins-klarna-in-mass-jobs-cut,182.0,United Kingdom
1536,Cvent,Washington D.C.,Marketing,400.0,0.1,2020-05-21 00:00:00,https://www.eventmanagerblog.com/cvent-layoffs,146.0,United States
218,CyCognito,SF Bay Area,Security,30.0,0.15,2022-12-08 00:00:00,https://www.calcalistech.com/ctechnews/article/h1suse100s,153.0,United States
516,Cybereason,Boston,Security,200.0,0.17,2022-10-26 00:00:00,https://www.calcalistech.com/ctechnews/article/sjspj00uvs,750.0,United States
1838,D2iQ,SF Bay Area,Infrastructure,34.0,0.13,2020-04-03 00:00:00,https://www.businessinsider.com/d2iq-mesosphere-layoffs-34-coronavirus-crisis-2020-4,247.0,United States
481,Dapper Labs,Vancouver,Crypto,134.0,0.22,2022-11-02 00:00:00,https://betakit.com/dapper-labs-lays-off-22-percent-of-staff/,607.0,United States
1488,Dark,SF Bay Area,Product,6.0,1.0,2020-06-23 00:00:00,https://layoffs.fyi/2020/06/29/programming-service-dark-releases-layoff-list/,3.0,United States
258,DataRails,Tel Aviv,Finance,30.0,0.18,2022-12-05 00:00:00,https://www.calcalistech.com/ctechnews/article/s1ka1tjvj,103.0,Israel
1264,DataRobot,Boston,Data,70.0,0.07,2022-05-11 00:00:00,https://www.theinformation.com/briefings/ai-startup-datarobot-lays-off-7-in-cost-cutting-move,1000.0,United States
1570,Deliv,SF Bay Area,Retail,669.0,1.0,2020-05-13 00:00:00,https://www.mercurynews.com/2020/05/15/ccalifornia-unemployment-layoff-rock-delivery-startup-ymca-uber-ross-ui-edd-tech-job-economy/,80.0,United States
1646,Deliveroo,London,Food,367.0,0.15,2020-04-28 00:00:00,https://layoffs.fyi/2020/06/24/deliveroo-layoff-list-showcases-over-100-of-its-global-employees/,1500.0,United Kingdom
378,Deliveroo Australia,Melbourne,Food,120.0,1.0,2022-11-15 00:00:00,https://www.abc.net.au/news/2022-11-16/deliveroo-enters-voluntary-administration/101661932,1700.0,Australia
680,Demandbase,SF Bay Area,Sales,27.0,0.03,2022-09-07 00:00:00,Internal memo,143.0,United States
1616,Deputy,Sydney,HR,60.0,0.3,2020-05-04 00:00:00,https://www.afr.com/young-rich/young-rich-lister-shifts-gears-to-survive-20200403-p54gty,106.0,Australia
1517,Descartes Labs,Santa Fe,Data,12.0,0.16,2020-06-02 00:00:00,https://www.santafenewmexican.com/news/local_news/descartes-labs-seeks-750-000-state-loan-to-make-lease-payments/article_b0f7eeaa-a4e6-11ea-8b9a-f34e580504e1.html,58.0,United States
1910,DialSource,Sacramento,Marketing,5.0,0.14,2020-03-31 00:00:00,Company executive,26.0,United States
1659,Divergent 3D,Los Angeles,Transportation,57.0,0.36,2020-04-24 00:00:00,https://techcrunch.com/2020/04/24/manufacturing-startup-divergent-3d-reduces-staff-by-one-third/,88.0,United States
613,Divvy Homes,SF Bay Area,Real Estate,40.0,0.12,2022-09-27 00:00:00,https://www.theinformation.com/articles/andreessen-backed-divvy-homes-lays-off-12-of-staff-as-rates-rise,180.0,United States
453,Dock,Sao Paulo,Finance,190.0,0.12,2022-11-07 00:00:00,https://www.infomoney.com.br/negocios/exclusivo-startup-dock-nao-passa-ilesa-e-faz-demissao-em-massa/,280.0,Brazil
1433,Docly,London,Healthcare,8.0,0.8,2020-08-19 00:00:00,https://sifted.eu/articles/docly-slash-in-uk/,15.5,United Kingdom
610,DocuSign,SF Bay Area,Sales,671.0,0.09,2022-09-28 00:00:00,https://www.sfgate.com/news/article/san-francisco-tech-company-docusign-layoffs-17473918.php,536.0,United States
241,Doma,SF Bay Area,Finance,515.0,0.4,2022-12-06 00:00:00,https://investor.doma.com/node/8161/html,679.0,United States
1285,Domestika,SF Bay Area,Education,150.0,0.19,2022-04-28 00:00:00,https://www.epe.es/es/economia/20220428/domestika-tecnologica-despidos-ere-encubierto-13576187,130.0,United States
1768,Domo,Salt Lake City,Data,90.0,0.1,2020-04-09 00:00:00,https://www.ksl.com/article/46740514/domo-forced-to-lay-off-10-of-workforce-due-to-economic-impact-caused-by-covid-19,689.0,United States
280,DoorDash,SF Bay Area,Food,1250.0,0.06,2022-11-30 00:00:00,https://www.reuters.com/business/retail-consumer/doordash-cuts-1250-jobs-an-effort-rein-expenses-2022-11-30/,2500.0,United States
887,Dover,SF Bay Area,Recruiting,23.0,0.3,2022-07-26 00:00:00,https://blog.dover.io/changes-to-our-team/,22.0,United States
1385,Dropbox,SF Bay Area,Other,315.0,0.15,2021-01-13 00:00:00,https://www.cnbc.com/2021/01/13/dropbox-to-cut-11percent-of-its-global-workforce.html,1700.0,United States
1175,Dutchie,Bend,Other,50.0,0.07,2022-06-06 00:00:00,https://www.geekwire.com/2022/dutchie-lays-off-7-of-workforce-citing-dramatic-market-shift-in-latest-cannabis-tech-company-cuts/,603.0,United States
1867,Dynamic Signal,SF Bay Area,HR,35.0,0.19,2020-04-02 00:00:00,LinkedIn,114.0,United States
1885,Earnin,SF Bay Area,Finance,50.0,0.2,2020-04-01 00:00:00,LinkedIn,190.0,United States
1753,EasyPost,SF Bay Area,Logistics,50.0,0.25,2020-04-13 00:00:00,LinkedIn,12.0,United States
1441,Eatsy,Singapore,Food,20.0,1.0,2020-08-08 00:00:00,https://www.businesstimes.com.sg/garage/food-ordering-startup-eatsy-shutters-operations-0,0.9755,Singapore
1530,Ebanx,Curitiba,Finance,62.0,0.08,2020-05-27 00:00:00,https://exame.com/pme/comeca-uma-era-mais-pe-no-chao-para-as-startups-diz-fundador-do-ebanx/,30.0,Brazil
1962,Ecobee,Toronto,Energy,47.0,0.1,2020-03-26 00:00:00,https://layoffs.fyi/2020/04/10/ecobee-laid-off-47-employees/,149.0,Canada
1785,Eden / Managed By Q,New York City,Real Estate,40.0,0.4,2020-04-08 00:00:00,https://layoffs.fyi/2020/04/08/remainder-of-managed-by-q-team-furloughed-or-laid-off-by-eden/,40.0,United States
186,Edgio,Phoenix,Infrastructure,95.0,0.1,2022-12-13 00:00:00,https://www.marketscreener.com/amp/quote/stock/EDGIO-INC-52799/news/EDGIO-INC-Costs-Associated-with-Exit-or-Disposal-Activities-Change-in-Directors-or-Principal-Of-42549605/,462.0,United States
1615,Element AI,Montreal,Other,62.0,0.15,2020-05-04 00:00:00,https://www.theglobeandmail.com/business/article-element-ai-cuts-staff-adds-senior-executives-as-it-attempts-to-live/,257.0,Canada
1117,Elementor,Tel Aviv,Media,60.0,0.15,2022-06-15 00:00:00,https://en.globes.co.il/en/article-elementor-begins-laying-off-15-of-workforce-1001415176,65.0,Israel
533,Elinvar,Berlin,Finance,43.0,0.33,2022-10-21 00:00:00,https://financefwd.com/de/elinvar-entlassungen-funding/,30.0,Germany
521,Embroker,SF Bay Area,Finance,30.0,0.12,2022-10-25 00:00:00,https://www.theinsurer.com/news/insurtech-embroker-lays-off-12-of-global-workforce/25922.article,142.0,United States
982,Emotive,Los Angeles,Marketing,30.0,0.18,2022-07-07 00:00:00,https://dot.la/emotive-layoffs-2657628462.html,78.0,United States
1014,Enjoy,SF Bay Area,Retail,400.0,0.18,2022-06-30 00:00:00,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,310.0,United States
1743,Envoy,SF Bay Area,HR,58.0,0.3,2020-04-14 00:00:00,https://www.forbes.com/sites/alexandrawilson1/2020/04/15/smart-office-startup-envoy-furloughs-and-lays-off-30-of-employees-cuts-salaries-of-others/#e0729a7b94cf,59.0,United States
502,EquityZen,New York City,Finance,30.0,0.27,2022-10-31 00:00:00,https://www.axios.com/2022/10/31/scoop-layoffs-hit-startup-stock-marketplace-equityzen,11.0,United States
503,Equitybee,SF Bay Area,Finance,25.0,0.2,2022-10-31 00:00:00,https://www.calcalistech.com/ctechnews/article/hkrqontns,85.0,United States
1063,Ethos Life,SF Bay Area,Finance,40.0,0.12,2022-06-24 00:00:00,https://www.coverager.com/ethos-lays-off-40-employees/,406.0,United States
